case,trials,win_rate,ci95_low,ci95_high,mean_turns,p50_turns,p95_turns,capped,coins_per_attempt,exp_per_attempt
equal-tsubaki-slime_gold,200,1,0.9811539940816791,1,9.795,10,11,0,200,48.84
equal-sylphin-slime,200,1,0.9811539940816791,1,4.16,4,5,0,12.265,80
equal-sylphin-grassbeat,200,0.16,0.11567342208544587,0.2171418619390124,8.2,8,12,0,2.03,7.605
equal-sylphin-slime_gold,200,1,0.9811539940816791,1,15.72,16,17,0,200,46.78
equal-zephyray-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-zephyray-grassbeat,200,0.975,0.9428208558483829,0.9892754385292123,5.495,5,8,0,12.255,45.335
equal-zephyray-slime_gold,200,1,0.9811539940816791,1,8.47,8,10,0,200,46.965
equal-tempestray-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-tempestray-grassbeat,200,1,0.9811539940816791,1,4.13,4,6,0,12.38,46.895
equal-tempestray-slime_gold,200,1,0.9811539940816791,1,6.585,7,7,0,200,46.58
equal-ignaros-slime,200,1,0.9811539940816791,1,2.155,2,3,0,12.44,80
equal-ignaros-grassbeat,200,1,0.9811539940816791,1,2.55,2,4,0,12.295,46.775
equal-ignaros-slime_gold,200,1,0.9811539940816791,1,8.035,8,9,0,200,46.94
equal-nocle-slime,200,1,0.9811539940816791,1,4.16,4,5,0,12.265,80
equal-nocle-grassbeat,200,0.91,0.8622332538615105,0.9423130212854665,7.49,7,10,0,11.385,42.58
equal-nocle-slime_gold,200,1,0.9811539940816791,1,15.865,16,18,0,200,47.1
equal-noclaid-slime,200,1,0.9811539940816791,1,3.12,3,4,0,12.42,80
equal-noclaid-grassbeat,200,0.98,0.9497121344948062,0.9921956998236058,5.735,5,9,0,12.31,45.065
equal-noclaid-slime_gold,200,1,0.9811539940816791,1,12.01,12,14,0,200,46.865
equal-noxvelg-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-noxvelg-grassbeat,200,1,0.9811539940816791,1,3.4,3,5,0,12.6,46.8
equal-noxvelg-slime_gold,200,1,0.9811539940816791,1,6.34,6,7,0,200,46.395
equal-luxseed-slime,200,1,0.9811539940816791,1,4.16,4,5,0,12.265,80
equal-luxseed-grassbeat,200,0.915,0.8681031145576462,0.9462547005301477,7.52,7,11,0,11.43,42.815
equal-luxseed-slime_gold,200,1,0.9811539940816791,1,15.865,16,18,0,200,47.1
equal-luxiard-slime,200,1,0.9811539940816791,1,3.12,3,4,0,12.42,80
equal-luxiard-grassbeat,200,0.98,0.9497121344948062,0.9921956998236058,5.735,5,9,0,12.31,45.065
equal-luxiard-slime_gold,200,1,0.9811539940816791,1,12.19,12,14,0,200,46.395
equal-lux_galdion-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-lux_galdion-grassbeat,200,1,0.9811539940816791,1,3.4,3,5,0,12.6,46.8
equal-lux_galdion-slime_gold,200,1,0.9811539940816791,1,6.34,6,7,0,200,46.395
equal-astralepis-slime,200,1,0.9811539940816791,1,2.265,2,3,0,12.46,80
equal-astralepis-grassbeat,200,1,0.9811539940816791,1,3.505,3,5,0,12.395,47.045
equal-astralepis-slime_gold,200,1,0.9811539940816791,1,7.945,8,9,0,200,46.2
link-slime-off,200,0.065,0.03837598764975976,0.10802003749917945,23.87,24,29,0,1.5,5.4
link-slime-on,200,0.94,0.8980673646931491,0.9653481500987285,20.085,20,24,0,21.505,78.765
link-freigal-off,200,0.295,0.23613844271901735,0.3615884197074943,24.7,25,28,0,6.49,24.75
link-freigal-on,200,1,0.9811539940816791,1,17.13,17,20,0,22.605,85.41
